dataset,mode,seed,threshold,edge_count,edge_count_true,f1_directed,precision,recall,shd,violations,constraint_cells_changed,selected
synthetic_n2000,unconstrained,44,0.1,136,65,0.2189054726368159,0.1617647058823529,0.3384615384615385,157,7,0,
synthetic_n2000,unconstrained,44,0.15,79,65,0.2916666666666666,0.2658227848101265,0.3230769230769231,102,5,0,
synthetic_n2000,unconstrained,44,0.2,62,65,0.2992125984251969,0.3064516129032258,0.2923076923076923,89,4,0,
synthetic_n2000,unconstrained,44,0.25,54,65,0.319327731092437,0.3518518518518518,0.2923076923076923,81,3,0,yes
synthetic_n2000,unconstrained,44,0.26,52,65,0.3076923076923077,0.3461538461538461,0.2769230769230769,81,2,0,
synthetic_n2000,unconstrained,44,0.27,49,65,0.2982456140350877,0.3469387755102041,0.2615384615384615,80,2,0,
synthetic_n2000,unconstrained,44,0.275,49,65,0.2982456140350877,0.3469387755102041,0.2615384615384615,80,2,0,
synthetic_n2000,unconstrained,44,0.28,49,65,0.2982456140350877,0.3469387755102041,0.2615384615384615,80,2,0,
synthetic_n2000,unconstrained,44,0.285,49,65,0.2982456140350877,0.3469387755102041,0.2615384615384615,80,2,0,
synthetic_n2000,unconstrained,44,0.3,48,65,0.3008849557522124,0.3541666666666667,0.2615384615384615,79,2,0,
synthetic_n2000,unconstrained,44,0.302,48,65,0.3008849557522124,0.3541666666666667,0.2615384615384615,79,2,0,
synthetic_n2000,unconstrained,44,0.304,48,65,0.3008849557522124,0.3541666666666667,0.2615384615384615,79,2,0,
synthetic_n2000,unconstrained,44,0.306,48,65,0.3008849557522124,0.3541666666666667,0.2615384615384615,79,2,0,
synthetic_n2000,unconstrained,44,0.308,48,65,0.3008849557522124,0.3541666666666667,0.2615384615384615,79,2,0,
synthetic_n2000,unconstrained,44,0.31,48,65,0.3008849557522124,0.3541666666666667,0.2615384615384615,79,2,0,
synthetic_n2000,unconstrained,44,0.312,47,65,0.3035714285714286,0.3617021276595745,0.2615384615384615,78,2,0,
synthetic_n2000,unconstrained,44,0.315,47,65,0.3035714285714286,0.3617021276595745,0.2615384615384615,78,2,0,
synthetic_n2000,unconstrained,44,0.32,47,65,0.3035714285714286,0.3617021276595745,0.2615384615384615,78,2,0,
synthetic_n2000,unconstrained,44,0.325,46,65,0.3063063063063063,0.3695652173913043,0.2615384615384615,77,2,0,
synthetic_n2000,unconstrained,44,0.33,45,65,0.3090909090909091,0.3777777777777777,0.2615384615384615,76,2,0,
synthetic_n2000,unconstrained,44,0.335,45,65,0.3090909090909091,0.3777777777777777,0.2615384615384615,76,2,0,
