algorithm,mode,dataset,evaluation_mode,evaluation_target,constraint_mode,forbidden_constraints_count,required_constraints_count,seed,runtime_seconds,status,edge_count_predicted,edge_count_true,shd,f1_directed,f1_skeleton,precision,recall,literature_agreement_count,literature_violation_count,literature_alignment_score
lingam,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,42,14.736,success,5,46,51,0.0,0.0,0.0,0.0,0,0,0.0
lingam,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,43,14.1417,success,17,46,63,0.0,0.0,0.0,0.0,0,0,0.0
lingam,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,44,13.2722,success,8,46,54,0.0,0.0,0.0,0.0,0,0,0.0
lingam,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,45,13.4364,success,14,46,60,0.0,0.0,0.0,0.0,0,0,0.0
lingam,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,46,13.79,success,17,46,63,0.0,0.031746031746031744,0.0,0.0,0,0,0.0
lingam,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,42,14.0614,success,5,46,51,0.0,0.0,0.0,0.0,0,0,0.0
lingam,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,43,13.9304,success,17,46,63,0.0,0.0,0.0,0.0,0,0,0.0
lingam,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,44,13.4421,success,8,46,54,0.0,0.0,0.0,0.0,0,0,0.0
lingam,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,45,13.674,success,14,46,60,0.0,0.0,0.0,0.0,0,0,0.0
lingam,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,46,13.3937,success,17,46,63,0.0,0.031746031746031744,0.0,0.0,0,0,0.0
